date,state,customers_elec,price_elec,revenue_elec,sales_elec
2001-01,WY,,4.31,48.1284,1116.17208
2001-01,SC,,6.02,428.96573,7126.32364
2001-01,RI,,11.27,71.54902,635.08412
2001-01,PA,,7.68,976.21567,12706.26892
2001-01,OR,,5.03,242.55279,4826.70266
2001-01,OK,,5.98,255.48524,4270.22928
2001-01,OH,,6.28,922.14789,14678.14253
2001-01,ND,,5.03,48.17154,957.27783
2001-01,NC,,6.38,739.91499,11600.78455
2001-01,NY,,11.53,1469.53678,12747.77381
2001-01,NM,,6.91,110.75664,1601.85561
2001-01,NJ,,9.05,571.11042,6308.5494
2001-01,NH,,11.77,114.80131,975.7793
2001-01,NV,,6.44,137.57941,2137.54432
2001-01,NE,,4.77,101.79898,2133.84281
2001-01,MT,,5.35,62.82552,1174.05215
2001-01,MO,,5.26,365.03846,6937.6713
2001-01,MS,,5.93,234.07006,3947.3157
2001-01,MN,,5.54,295.24614,5328.80942
2001-01,MI,,7.02,621.80929,8860.09969
2001-01,MA,,10.9,507.58804,4658.51429
2001-01,MD,,5.93,350.82797,5921.09634
2001-01,ME,,11.15,119.42813,1071.48042
2001-01,LA,,7.37,484.37397,6571.66656
2001-01,KY,,4.13,315.32479,7639.67239
2001-01,KS,,5.8,172.30557,2971.60356
2001-01,IA,,5.72,194.53694,3401.01828
2001-01,IN,,5.05,456.65795,9047.41026
2001-01,IL,,5.87,727.44186,12382.56439
2001-01,ID,,4.43,89.90277,2028.51282
2001-01,HI,,14.56,119.21667,818.66883
2001-01,FL,,7.43,1365.74672,18376.60789
2001-01,DC,,6.35,58.60901,923.28395
2001-01,DE,,6.11,65.22867,1067.79872
2001-01,CT,,9.76,269.39763,2760.24072
2001-01,CO,,5.55,214.82303,3867.27174
2001-01,CA,,8.71,1893.25678,21744.31668
2001-01,AR,,5.69,216.58535,3804.21013
2001-01,AZ,,6.35,304.10688,4786.79176
2001-01,AK,,9.97,51.96404,521.03566
2001-01,AL,,5.54,407.61261,7362.47302
2001-01,GA,,5.9,647.67015,10979.03329
2001-01,WI,,5.9,335.56099,5689.51118
2001-01,WV,,4.98,148.07544,2973.23837
2001-01,WA,,4.79,440.50524,9204.63376
2001-01,VA,,5.86,561.38052,9575.83865
2001-01,VT,,10.95,57.13107,521.78491
2001-01,UT,,4.67,95.25759,2039.95489
2001-01,TX,,6.9,1903.81241,27583.76887
2001-01,TN,,5.59,539.11548,9648.54559
2001-01,SD,,5.85,46.98518,803.24177
2001-02,MO,,5.35,320.07028,5980.7014
2001-02,LA,,7.92,459.31206,5800.99983
2001-02,KY,,4.25,267.32728,6297.32889
2001-02,KS,,5.93,155.57558,2624.16326
2001-02,IA,,5.8,180.05191,3103.53493
2001-02,IN,,5.08,407.72353,8026.88032
2001-02,IL,,6.17,720.75564,11675.16176
2001-02,ID,,4.5,78.48276,1742.99136
2001-02,HI,,14.42,104.26144,723.2767
2001-02,GA,,6.2,552.6411,8917.24627
2001-02,FL,,7.48,1142.11912,15263.2687
2001-02,DC,,6.53,53.72435,823.31425
2001-02,DE,,5.38,56.96008,1059.00703
2001-02,CT,,9.06,220.9128,2438.15362
2001-02,CO,,5.79,197.57204,3410.23549
2001-02,CA,,9.63,1762.30306,18305.55916
2001-02,AR,,5.6,182.31163,3256.8653
2001-02,AZ,,6.48,286.06639,4416.00228
2001-02,AK,,9.92,48.19988,486.09655
2001-02,AL,,5.31,321.06715,6041.02574
2001-02,MS,,5.84,196.50181,3366.08077
2001-02,MN,,5.83,280.06642,4806.27492
2001-02,MI,,6.91,547.81756,7930.55347
2001-02,MA,,10.93,458.52448,4195.08441
2001-02,MD,,6.07,300.66218,4954.31404
2001-02,ME,,11.05,111.40775,1008.54079
2001-02,WY,,4.36,49.14779,1127.51736
2001-02,WI,,5.98,312.62219,5229.47437
2001-02,WV,,4.99,120.21893,2411.13253
2001-02,WA,,5.11,424.88935,8316.93582
2001-02,VA,,6.03,471.27668,7819.86857
2001-02,VT,,11.12,52.94699,476.13472
2001-02,UT,,5.26,95.11455,1807.57026
2001-02,TX,,6.91,1670.53639,24170.79092
2001-02,TN,,5.51,459.74779,8344.77047
2001-02,SD,,6.1,45.5678,746.73423
2001-02,SC,,5.76,354.46572,6151.32286
2001-02,RI,,11.34,66.7149,588.40231
2001-02,PA,,7.46,884.13154,11844.50765
2001-02,OR,,5.02,223.73423,4459.20011
2001-02,OK,,5.83,211.36005,3625.49366
2001-02,OH,,6.36,841.805,13229.09975
2001-02,ND,,5.28,48.38309,917.16253
2001-02,NC,,6.56,625.07312,9524.66093
2001-02,NY,,11.17,1342.68513,12017.39501
2001-02,NM,,6.99,102.61477,1467.42359
2001-02,NJ,,8.77,497.23379,5669.27019
2001-02,NH,,11.31,95.38845,843.22505
2001-02,NV,,6.42,120.87018,1883.84015
2001-02,NE,,4.95,99.06459,2002.3435
2001-02,MT,,7.16,72.11128,1007.80023
2001-03,CO,,5.66,199.05662,3519.88616
2001-03,AZ,,6.57,286.65051,4362.10349
2001-03,AK,,10.91,48.43955,443.79575
2001-03,AL,,5.87,345.77802,5894.61038
2001-03,CA,,9.89,2111.17634,21351.40877
2001-03,AR,,5.73,173.61366,3031.50981
2001-03,MA,,11.15,501.36246,4494.76403
2001-03,MD,,5.92,317.71509,5366.98115
2001-03,ME,,10.78,108.81572,1009.24338
2001-03,LA,,8.47,458.14973,5408.22202
2001-03,KY,,4.03,276.51146,6861.18946
2001-03,KS,,6.12,163.93672,2677.16192
2001-03,IA,,5.82,177.8836,3056.67668
2001-03,IN,,5.23,410.06875,7847.24293
2001-03,IL,,6.47,692.81066,10708.72933
2001-03,ID,,4.39,73.63194,1675.38789
2001-03,VA,,6.06,488.82662,8069.86409
2001-03,VT,,10.84,51.44284,474.67895
2001-03,UT,,4.92,89.49908,1819.7074
2001-03,TX,,7.02,1574.66003,22424.411
2001-03,TN,,5.48,405.58197,7404.03308
2001-03,SD,,6.11,43.47168,712.01183
2001-03,SC,,5.65,317.46005,5618.79838
2001-03,HI,,14.23,113.73662,799.10958
2001-03,GA,,6.1,540.37898,8861.91977
2001-03,WY,,4.34,47.80066,1101.55813
2001-03,WI,,5.93,317.8719,5364.42631
2001-03,WV,,5.15,123.75481,2405.0742
2001-03,WA,,5.37,394.96252,7354.8162
2001-03,MN,,5.69,274.59615,4829.95445
2001-03,MI,,6.98,591.1693,8468.3561
2001-03,MS,,5.93,188.24877,3172.76842
2001-03,RI,,11.71,74.47426,635.92137
2001-03,PA,,7.75,890.75261,11491.10293
2001-03,OR,,5.15,219.5184,4261.74649
2001-03,OK,,6.27,217.16149,3464.19955
2001-03,OH,,6.29,847.94726,13478.08025
2001-03,ND,,5.22,44.20077,846.94603
2001-03,NC,,6.44,592.44248,9195.66857
2001-03,NY,,11.01,1298.68107,11790.13848
2001-03,NM,,6.91,101.54268,1468.64775
2001-03,NJ,,8.97,523.90183,5840.65561
2001-03,NH,,11.53,100.92186,875.04431
2001-03,NV,,7.46,146.0327,1957.7433
2001-03,NE,,5.08,96.59129,1902.61849
2001-03,MT,,6.64,65.86107,991.82704
2001-03,MO,,5.47,309.50471,5657.21603
2001-03,FL,,7.51,1080.46756,14382.78158
2001-03,DC,,6.33,58.5044,924.84423
2001-03,DE,,6.31,60.90191,965.76469
2001-03,CT,,9.38,241.76304,2577.05373
2001-04,SC,,5.59,319.42545,5716.36519
2001-04,NV,,7.61,162.72269,2137.30092
2001-04,MD,,6.19,280.92942,4536.79034
2001-04,ME,,9.41,93.58959,994.10415
2001-04,LA,,7.75,423.87761,5468.60055
2001-04,KY,,4.01,257.73438,6429.94829
2001-04,KS,,6.02,155.55178,2584.93667
2001-04,IA,,6.02,180.50446,2996.92879
2001-04,IN,,5.14,385.88096,7506.75366
2001-04,AK,,10.59,46.82643,442.19678
2001-04,AL,,5.72,347.18634,6064.53539
2001-04,CT,,9.61,215.06662,2238.10342
2001-04,CO,,5.91,193.15849,3266.12375
