date,state,consumption-for-eg,consumption-for-eg-btu,consumption-uto,consumption-uto-btu,generation,total-consumption,total-consumption-btu
2001-01,AK,,6.686,,0.354,590.145,,7.04
2001-01,KS,,45.349,,0.15,4108.052,,45.5
2001-01,AL,,117.234,,12.521,11326.642,,129.758
2001-01,CA,,182.025,,17.875,16618.887,,199.898
2001-01,DE,,6.436,,0.964,626.139,,7.401
2001-01,NC,,106.427,,6.778,10511.795,,113.202
2001-01,SD,,6.545,,0.0,628.372,,6.545
2001-01,IL,,171.799,,4.485,16039.369,,176.281
2001-01,MO,,75.863,,0.684,7119.915,,76.546
2001-01,ID,,6.168,,2.049,605.338,,8.217
2001-01,CT,,30.809,,0.671,2930.434,,31.481
2001-01,TX,,302.331,,36.571,31001.28,,338.902
2001-01,CO,,42.492,,1.131,4163.453,,43.622
2001-01,UT,,30.467,,0.221,2957.243,,30.688
2001-01,NH,,7.378,,0.325,652.365,,7.702
2001-01,VT,,5.807,,0.008,548.206,,5.815
2001-01,MT,,23.935,,1.146,2300.794,,25.081
2001-01,AR,,41.171,,4.363,3903.323,,45.532
2001-01,IN,,114.037,,6.352,10947.422,,120.391
2001-01,HI,,9.803,,0.817,924.573,,10.618
2001-01,WY,,43.103,,0.822,4020.68,,43.923
2001-01,AZ,,79.546,,0.414,7573.925,,79.959
2001-01,NV,,31.321,,0.283,2965.823,,31.604
2001-01,GA,,113.483,,11.726,11084.082,,125.213
2001-01,NM,,30.374,,0.436,2919.113,,30.808
2001-01,MN,,46.18,,4.239,4332.835,,50.418
2001-01,RI,,3.884,,0.248,423.873,,4.127
2001-01,MD,,47.697,,0.77,4602.543,,48.465
2001-01,FL,,170.368,,9.444,16937.281,,179.812
2001-01,OR,,40.484,,1.46,4150.338,,41.943
2001-01,TN,,98.041,,7.235,9106.237,,105.277
2001-01,SC,,80.573,,2.413,7645.817,,82.986
2001-01,PA,,192.434,,5.276,18863.626,,197.706
2001-01,DC,,0.159,,0.0,9.251,,0.159
2001-01,NY,,132.009,,5.551,12622.133,,137.564
2001-01,OK,,47.75,,3.077,4490.79,,50.826
2001-01,NE,,30.657,,0.121,2898.716,,30.778
2001-01,ME,,16.892,,8.285,1648.488,,25.181
2001-01,NJ,,56.425,,3.048,5305.915,,59.492
2001-01,VA,,78.372,,8.707,7117.068,,87.077
2001-01,IA,,41.751,,3.467,3761.273,,45.22
2001-01,WV,,84.745,,1.558,8653.387,,86.301
2001-01,MI,,108.877,,4.444,10182.66,,113.321
2001-01,OH,,132.372,,5.393,13162.516,,137.776
2001-01,LA,,78.675,,19.225,7595.003,,97.9
2001-01,ND,,31.073,,0.29,2750.739,,31.362
2001-01,KY,,84.366,,0.033,8118.236,,84.4
2001-01,MS,,40.367,,3.812,3563.612,,44.179
2001-01,WI,,59.027,,6.4,5363.511,,65.429
2001-01,WA,,85.008,,4.443,8318.002,,89.449
2001-01,MA,,38.238,,1.572,3801.943,,40.332
2001-02,OR,,37.78,,1.039,3717.815,,38.817
2001-02,WY,,40.497,,0.772,3747.141,,41.266
2001-02,VT,,5.048,,0.008,477.588,,5.055
2001-02,ND,,28.492,,0.293,2513.628,,28.785
2001-02,MA,,31.663,,1.482,3145.754,,33.572
2001-02,RI,,3.818,,0.164,443.519,,3.982
2001-02,NE,,25.933,,0.133,2424.581,,26.068
2001-02,GA,,87.397,,11.381,8331.59,,98.786
2001-02,VA,,65.223,,6.82,5894.142,,72.05
2001-02,WA,,72.855,,3.315,7088.155,,76.17
2001-02,WV,,72.786,,1.413,7380.732,,74.202
2001-02,CA,,159.912,,15.02,14380.392,,174.937
2001-02,NV,,30.952,,0.252,2968.734,,31.204
2001-02,MD,,42.889,,0.687,4182.074,,43.576
2001-02,AK,,6.515,,0.617,546.167,,7.133
2001-02,DE,,5.176,,0.925,521.099,,6.101
2001-02,KS,,37.617,,0.136,3273.967,,37.753
2001-02,IA,,36.122,,3.077,3243.662,,39.199
2001-02,NJ,,49.547,,2.844,4705.993,,52.399
2001-02,IL,,147.746,,4.0,13913.663,,151.748
2001-02,SD,,6.049,,0.0,571.928,,6.049
2001-02,DC,,0.003,,0.0,0.0,,0.003
2001-02,PA,,154.091,,4.819,15053.4,,159.212
2001-02,AZ,,69.648,,0.334,6616.639,,69.981
2001-02,MS,,29.419,,2.732,2743.202,,32.15
