date,state,index_ipi
2001-01,AK,92.2054
2001-01,AL,92.2054
2001-01,AR,92.2054
2001-01,AZ,92.2054
2001-01,CA,92.2054
2001-01,CO,92.2054
2001-01,CT,92.2054
2001-01,DC,92.2054
2001-01,DE,92.2054
2001-01,FL,92.2054
2001-01,GA,92.2054
2001-01,HI,92.2054
2001-01,IA,92.2054
2001-01,ID,92.2054
2001-01,IL,92.2054
2001-01,IN,92.2054
2001-01,KS,92.2054
2001-01,KY,92.2054
2001-01,LA,92.2054
2001-01,MA,92.2054
2001-01,MD,92.2054
2001-01,ME,92.2054
2001-01,MI,92.2054
2001-01,MN,92.2054
2001-01,MO,92.2054
2001-01,MS,92.2054
2001-01,MT,92.2054
2001-01,NC,92.2054
2001-01,ND,92.2054
2001-01,NE,92.2054
2001-01,NH,92.2054
2001-01,NJ,92.2054
2001-01,NM,92.2054
2001-01,NV,92.2054
2001-01,NY,92.2054
2001-01,OH,92.2054
2001-01,OK,92.2054
2001-01,OR,92.2054
2001-01,PA,92.2054
2001-01,RI,92.2054
2001-01,SC,92.2054
2001-01,SD,92.2054
2001-01,TN,92.2054
2001-01,TX,92.2054
2001-01,UT,92.2054
2001-01,VA,92.2054
2001-01,VT,92.2054
2001-01,WA,92.2054
2001-01,WI,92.2054
2001-01,WV,92.2054
2001-01,WY,92.2054
2001-02,AK,91.5813
2001-02,AL,91.5813
2001-02,AR,91.5813
2001-02,AZ,91.5813
2001-02,CA,91.5813
2001-02,CO,91.5813
2001-02,CT,91.5813
2001-02,DC,91.5813
2001-02,DE,91.5813
2001-02,FL,91.5813
2001-02,GA,91.5813
2001-02,HI,91.5813
2001-02,IA,91.5813
2001-02,ID,91.5813
2001-02,IL,91.5813
2001-02,IN,91.5813
2001-02,KS,91.5813
2001-02,KY,91.5813
2001-02,LA,91.5813
2001-02,MA,91.5813
2001-02,MD,91.5813
2001-02,ME,91.5813
2001-02,MI,91.5813
2001-02,MN,91.5813
2001-02,MO,91.5813
2001-02,MS,91.5813
2001-02,MT,91.5813
2001-02,NC,91.5813
2001-02,ND,91.5813
2001-02,NE,91.5813
2001-02,NH,91.5813
2001-02,NJ,91.5813
2001-02,NM,91.5813
2001-02,NV,91.5813
2001-02,NY,91.5813
2001-02,OH,91.5813
2001-02,OK,91.5813
2001-02,OR,91.5813
2001-02,PA,91.5813
2001-02,RI,91.5813
2001-02,SC,91.5813
2001-02,SD,91.5813
2001-02,TN,91.5813
2001-02,TX,91.5813
2001-02,UT,91.5813
2001-02,VA,91.5813
2001-02,VT,91.5813
2001-02,WA,91.5813
2001-02,WI,91.5813
2001-02,WV,91.5813
2001-02,WY,91.5813
2001-03,AK,91.3567
2001-03,AL,91.3567
2001-03,AR,91.3567
2001-03,AZ,91.3567
2001-03,CA,91.3567
2001-03,CO,91.3567
2001-03,CT,91.3567
2001-03,DC,91.3567
2001-03,DE,91.3567
2001-03,FL,91.3567
2001-03,GA,91.3567
2001-03,HI,91.3567
2001-03,IA,91.3567
2001-03,ID,91.3567
2001-03,IL,91.3567
2001-03,IN,91.3567
2001-03,KS,91.3567
2001-03,KY,91.3567
2001-03,LA,91.3567
2001-03,MA,91.3567
2001-03,MD,91.3567
2001-03,ME,91.3567
2001-03,MI,91.3567
2001-03,MN,91.3567
2001-03,MO,91.3567
2001-03,MS,91.3567
2001-03,MT,91.3567
2001-03,NC,91.3567
2001-03,ND,91.3567
2001-03,NE,91.3567
2001-03,NH,91.3567
2001-03,NJ,91.3567
2001-03,NM,91.3567
2001-03,NV,91.3567
2001-03,NY,91.3567
2001-03,OH,91.3567
2001-03,OK,91.3567
2001-03,OR,91.3567
2001-03,PA,91.3567
2001-03,RI,91.3567
2001-03,SC,91.3567
2001-03,SD,91.3567
2001-03,TN,91.3567
2001-03,TX,91.3567
2001-03,UT,91.3567
2001-03,VA,91.3567
2001-03,VT,91.3567
2001-03,WA,91.3567
2001-03,WI,91.3567
2001-03,WV,91.3567
2001-03,WY,91.3567
2001-04,AK,91.072
2001-04,AL,91.072
2001-04,AR,91.072
2001-04,AZ,91.072
2001-04,CA,91.072
2001-04,CO,91.072
2001-04,CT,91.072
2001-04,DC,91.072
2001-04,DE,91.072
2001-04,FL,91.072
2001-04,GA,91.072
2001-04,HI,91.072
2001-04,IA,91.072
2001-04,ID,91.072
2001-04,IL,91.072
2001-04,IN,91.072
2001-04,KS,91.072
2001-04,KY,91.072
2001-04,LA,91.072
2001-04,MA,91.072
2001-04,MD,91.072
2001-04,ME,91.072
2001-04,MI,91.072
2001-04,MN,91.072
2001-04,MO,91.072
2001-04,MS,91.072
2001-04,MT,91.072
2001-04,NC,91.072
2001-04,ND,91.072
2001-04,NE,91.072
2001-04,NH,91.072
2001-04,NJ,91.072
2001-04,NM,91.072
2001-04,NV,91.072
2001-04,NY,91.072
2001-04,OH,91.072
2001-04,OK,91.072
2001-04,OR,91.072
2001-04,PA,91.072
2001-04,RI,91.072
2001-04,SC,91.072
2001-04,SD,91.072
2001-04,TN,91.072
2001-04,TX,91.072
2001-04,UT,91.072
2001-04,VA,91.072
2001-04,VT,91.072
2001-04,WA,91.072
2001-04,WI,91.072
2001-04,WV,91.072
2001-04,WY,91.072
2001-05,AK,90.5335
2001-05,AL,90.5335
2001-05,AR,90.5335
2001-05,AZ,90.5335
2001-05,CA,90.5335
2001-05,CO,90.5335
2001-05,CT,90.5335
2001-05,DC,90.5335
2001-05,DE,90.5335
2001-05,FL,90.5335
2001-05,GA,90.5335
2001-05,HI,90.5335
2001-05,IA,90.5335
2001-05,ID,90.5335
2001-05,IL,90.5335
2001-05,IN,90.5335
2001-05,KS,90.5335
2001-05,KY,90.5335
2001-05,LA,90.5335
2001-05,MA,90.5335
2001-05,MD,90.5335
2001-05,ME,90.5335
2001-05,MI,90.5335
2001-05,MN,90.5335
2001-05,MO,90.5335
2001-05,MS,90.5335
2001-05,MT,90.5335
2001-05,NC,90.5335
2001-05,ND,90.5335
2001-05,NE,90.5335
2001-05,NH,90.5335
2001-05,NJ,90.5335
2001-05,NM,90.5335
2001-05,NV,90.5335
2001-05,NY,90.5335
2001-05,OH,90.5335
2001-05,OK,90.5335
2001-05,OR,90.5335
2001-05,PA,90.5335
2001-05,RI,90.5335
2001-05,SC,90.5335
2001-05,SD,90.5335
2001-05,TN,90.5335
2001-05,TX,90.5335
2001-05,UT,90.5335
2001-05,VA,90.5335
2001-05,VT,90.5335
2001-05,WA,90.5335
2001-05,WI,90.5335
2001-05,WV,90.5335
2001-05,WY,90.5335
2001-06,AK,90.0322
2001-06,AL,90.0322
2001-06,AR,90.0322
2001-06,AZ,90.0322
2001-06,CA,90.0322
2001-06,CO,90.0322
2001-06,CT,90.0322
2001-06,DC,90.0322
2001-06,DE,90.0322
2001-06,FL,90.0322
2001-06,GA,90.0322
2001-06,HI,90.0322
2001-06,IA,90.0322
2001-06,ID,90.0322
2001-06,IL,90.0322
2001-06,IN,90.0322
2001-06,KS,90.0322
2001-06,KY,90.0322
2001-06,LA,90.0322
2001-06,MA,90.0322
2001-06,MD,90.0322
2001-06,ME,90.0322
2001-06,MI,90.0322
2001-06,MN,90.0322
2001-06,MO,90.0322
2001-06,MS,90.0322
2001-06,MT,90.0322
2001-06,NC,90.0322
2001-06,ND,90.0322
2001-06,NE,90.0322
2001-06,NH,90.0322
2001-06,NJ,90.0322
2001-06,NM,90.0322
2001-06,NV,90.0322
2001-06,NY,90.0322
2001-06,OH,90.0322
2001-06,OK,90.0322
2001-06,OR,90.0322
2001-06,PA,90.0322
2001-06,RI,90.0322
2001-06,SC,90.0322
2001-06,SD,90.0322
2001-06,TN,90.0322
2001-06,TX,90.0322
2001-06,UT,90.0322
2001-06,VA,90.0322
2001-06,VT,90.0322
2001-06,WA,90.0322
2001-06,WI,90.0322
2001-06,WV,90.0322
2001-06,WY,90.0322
2001-07,AK,89.4778
2001-07,AL,89.4778
2001-07,AR,89.4778
2001-07,AZ,89.4778
2001-07,CA,89.4778
2001-07,CO,89.4778
2001-07,CT,89.4778
2001-07,DC,89.4778
2001-07,DE,89.4778
2001-07,FL,89.4778
2001-07,GA,89.4778
2001-07,HI,89.4778
2001-07,IA,89.4778
2001-07,ID,89.4778
2001-07,IL,89.4778
2001-07,IN,89.4778
2001-07,KS,89.4778
2001-07,KY,89.4778
2001-07,LA,89.4778
2001-07,MA,89.4778
2001-07,MD,89.4778
2001-07,ME,89.4778
2001-07,MI,89.4778
2001-07,MN,89.4778
2001-07,MO,89.4778
2001-07,MS,89.4778
2001-07,MT,89.4778
2001-07,NC,89.4778
2001-07,ND,89.4778
2001-07,NE,89.4778
2001-07,NH,89.4778
2001-07,NJ,89.4778
2001-07,NM,89.4778
2001-07,NV,89.4778
2001-07,NY,89.4778
2001-07,OH,89.4778
2001-07,OK,89.4778
2001-07,OR,89.4778
2001-07,PA,89.4778
2001-07,RI,89.4778
2001-07,SC,89.4778
2001-07,SD,89.4778
2001-07,TN,89.4778
2001-07,TX,89.4778
2001-07,UT,89.4778
2001-07,VA,89.4778
2001-07,VT,89.4778
2001-07,WA,89.4778
2001-07,WI,89.4778
2001-07,WV,89.4778
2001-07,WY,89.4778
2001-08,AK,89.3838
2001-08,AL,89.3838
2001-08,AR,89.3838
2001-08,AZ,89.3838
2001-08,CA,89.3838
2001-08,CO,89.3838
2001-08,CT,89.3838
2001-08,DC,89.3838
2001-08,DE,89.3838
2001-08,FL,89.3838
2001-08,GA,89.3838
2001-08,HI,89.3838
2001-08,IA,89.3838
2001-08,ID,89.3838
2001-08,IL,89.3838
2001-08,IN,89.3838
2001-08,KS,89.3838
2001-08,KY,89.3838
2001-08,LA,89.3838
2001-08,MA,89.3838
2001-08,MD,89.3838
2001-08,ME,89.3838
2001-08,MI,89.3838
2001-08,MN,89.3838
2001-08,MO,89.3838
2001-08,MS,89.3838
2001-08,MT,89.3838
2001-08,NC,89.3838
2001-08,ND,89.3838
2001-08,NE,89.3838
2001-08,NH,89.3838
2001-08,NJ,89.3838
2001-08,NM,89.3838
2001-08,NV,89.3838
2001-08,NY,89.3838
2001-08,OH,89.3838
2001-08,OK,89.3838
2001-08,OR,89.3838
2001-08,PA,89.3838
2001-08,RI,89.3838
2001-08,SC,89.3838
2001-08,SD,89.3838
2001-08,TN,89.3838
2001-08,TX,89.3838
2001-08,UT,89.3838
2001-08,VA,89.3838
2001-08,VT,89.3838
2001-08,WA,89.3838
2001-08,WI,89.3838
2001-08,WV,89.3838
2001-08,WY,89.3838
2001-09,AK,88.9262
2001-09,AL,88.9262
2001-09,AR,88.9262
2001-09,AZ,88.9262
2001-09,CA,88.9262
2001-09,CO,88.9262
2001-09,CT,88.9262
2001-09,DC,88.9262
2001-09,DE,88.9262
2001-09,FL,88.9262
2001-09,GA,88.9262
2001-09,HI,88.9262
2001-09,IA,88.9262
2001-09,ID,88.9262
2001-09,IL,88.9262
2001-09,IN,88.9262
2001-09,KS,88.9262
2001-09,KY,88.9262
2001-09,LA,88.9262
2001-09,MA,88.9262
2001-09,MD,88.9262
2001-09,ME,88.9262
2001-09,MI,88.9262
2001-09,MN,88.9262
2001-09,MO,88.9262
2001-09,MS,88.9262
2001-09,MT,88.9262
2001-09,NC,88.9262
2001-09,ND,88.9262
2001-09,NE,88.9262
2001-09,NH,88.9262
2001-09,NJ,88.9262
2001-09,NM,88.9262
2001-09,NV,88.9262
2001-09,NY,88.9262
2001-09,OH,88.9262
2001-09,OK,88.9262
2001-09,OR,88.9262
2001-09,PA,88.9262
2001-09,RI,88.9262
2001-09,SC,88.9262
2001-09,SD,88.9262
2001-09,TN,88.9262
