state,value,date
AR,8.614285714285714,2022-03-01
AR,6.408333333333332,2020-04-01
AR,7.413043478260869,2021-04-01
AR,6.6066666666666665,2022-04-01
AR,6.448387096774193,2020-05-01
AR,8.710344827586207,2021-05-01
AR,8.604761904761904,2022-05-01
AR,10.710344827586209,2020-06-01
AR,10.567857142857141,2021-06-01
AR,10.11,2022-06-01
AR,8.304,2020-07-01
AR,7.148275862068965,2021-07-01
AR,9.7625,2022-07-01
AR,6.8125,2020-08-01
AR,7.542307692307692,2021-08-01
AR,5.751724137931035,2022-08-01
AR,4.774074074074075,2020-09-01
AR,5.412000000000001,2021-09-01
AR,5.88148148148148,2022-09-01
AR,4.052380952380952,2020-10-01
AR,4.673333333333333,2021-10-01
AR,5.096296296296296,2022-10-01
CA,1.3333333333333333,2020-01-01
CA,2.3838709677419354,2021-01-01
CA,1.7548387096774194,2022-01-01
CA,4.603448275862069,2020-02-01
CA,3.4285714285714284,2021-02-01
CA,3.746428571428571,2022-02-01
CA,4.170967741935483,2020-03-01
CA,5.080645161290323,2021-03-01
CA,5.358064516129032,2022-03-01
CA,5.8100000000000005,2020-04-01
CA,7.114814814814815,2021-04-01
CA,7.033333333333333,2022-04-01
CA,8.84,2020-05-01
CA,10.937931034482759,2021-05-01
CA,11.279310344827588,2022-05-01
CA,11.196551724137931,2020-06-01
CA,11.489655172413793,2021-06-01
CA,14.823076923076922,2022-06-01
CA,12.014285714285714,2020-07-01
CA,11.009677419354839,2021-07-01
CA,13.17741935483871,2022-07-01
CA,10.080645161290322,2020-08-01
CA,8.979310344827585,2021-08-01
CA,11.516129032258064,2022-08-01
CA,8.45,2020-09-01
CA,8.606666666666666,2021-09-01
CA,6.989999999999999,2022-09-01
CA,7.641935483870968,2020-10-01
CA,4.926666666666666,2021-10-01
CA,4.841935483870968,2022-10-01
CA,4.383333333333334,2020-11-01
CA,2.04,2021-11-01
CA,2.4566666666666666,2022-11-01
CA,2.0903225806451613,2020-12-01
CA,1.1357142857142857,2021-12-01
CA,2.8193548387096774,2022-12-01
ID,0.0,2020-01-01
ID,0.0,2021-01-01
ID,0.0,2022-01-01
ID,0.0,2020-02-01
ID,0.0,2021-02-01
ID,0.0,2022-02-01
ID,0.0,2020-03-01
ID,0.0,2021-03-01
ID,0.0,2022-03-01
ID,2.0866666666666664,2020-04-01
ID,1.8766666666666665,2021-04-01
ID,1.35,2022-04-01
ID,2.864516129032258,2020-05-01
