state,value,date
AL,2.2483870967741937,2019-01-01
AL,2.3483870967741933,2020-01-01
AL,2.27258064516129,2021-01-01
AL,2.603225806451613,2022-01-01
AL,2.8874999999999997,2019-02-01
AL,2.6655172413793102,2020-02-01
AL,2.705357142857143,2021-02-01
AL,2.601785714285714,2022-02-01
AL,2.693548387096774,2019-03-01
AL,2.738709677419355,2020-03-01
AL,2.7161290322580647,2021-03-01
AL,2.5080645161290325,2022-03-01
AL,2.2983333333333333,2019-04-01
AL,2.265,2020-04-01
AL,2.0683333333333334,2021-04-01
AL,2.485,2022-04-01
AL,1.8080645161290323,2019-05-01
AL,2.108064516129032,2020-05-01
AL,2.3822580645161286,2021-05-01
AL,2.148387096774193,2022-05-01
AL,1.9466666666666665,2019-06-01
AL,2.1883333333333335,2020-06-01
AL,2.0083333333333333,2021-06-01
AL,1.66,2022-06-01
AL,1.6096774193548387,2019-07-01
AL,1.632258064516129,2020-07-01
AL,1.3838709677419354,2021-07-01
AL,1.5725806451612903,2022-07-01
AL,1.4016129032258065,2019-08-01
AL,1.6064516129032258,2020-08-01
AL,1.6516129032258065,2021-08-01
AL,1.2467741935483871,2022-08-01
AL,1.3583333333333334,2019-09-01
AL,2.486666666666667,2020-09-01
AL,1.3466666666666667,2021-09-01
AL,1.6683333333333332,2022-09-01
AL,1.993548387096774,2019-10-01
AL,1.9919354838709677,2020-10-01
AL,1.6274193548387097,2021-10-01
AL,1.6774193548387097,2022-10-01
AL,1.8599999999999999,2019-11-01
AL,1.9083333333333334,2020-11-01
AL,1.6099999999999999,2021-11-01
AL,2.0033333333333334,2022-11-01
AL,2.435483870967742,2019-12-01
AL,1.8290322580645162,2020-12-01
AL,2.1838709677419357,2021-12-01
AL,2.116129032258064,2022-12-01
AR,3.589247311827957,2019-01-01
AR,3.660215053763441,2020-01-01
AR,3.5930107526881723,2021-01-01
AR,3.7526881720430105,2022-01-01
AR,4.005952380952381,2019-02-01
AR,4.2379310344827585,2020-02-01
AR,4.079166666666667,2021-02-01
AR,4.141666666666667,2022-02-01
AR,3.897849462365591,2019-03-01
AR,3.975268817204301,2020-03-01
AR,4.090322580645161,2021-03-01
AR,4.118279569892473,2022-03-01
AR,3.979444444444445,2019-04-01
AR,3.5411111111111113,2020-04-01
AR,3.6172222222222223,2021-04-01
AR,4.557222222222222,2022-04-01
AR,3.332795698924731,2019-05-01
AR,3.3435483870967744,2020-05-01
AR,3.379569892473118,2021-05-01
AR,3.8080645161290323,2022-05-01
AR,2.98,2019-06-01
AR,3.002222222222222,2020-06-01
AR,2.7816666666666667,2021-06-01
AR,2.688888888888889,2022-06-01
AR,2.0625,2019-07-01
AR,2.425806451612903,2020-07-01
AR,2.4064516129032256,2021-07-01
AR,2.9317204301075273,2022-07-01
AR,2.1892473118279567,2019-08-01
AR,2.4021505376344088,2020-08-01
AR,2.7096774193548385,2021-08-01
AR,2.403225806451613,2022-08-01
AR,2.362222222222222,2019-09-01
AR,2.6533333333333333,2020-09-01
AR,2.658888888888889,2021-09-01
AR,2.388888888888889,2022-09-01
AR,3.099462365591398,2019-10-01
AR,2.803225806451613,2020-10-01
AR,3.1806451612903226,2021-10-01
AR,3.2903225806451615,2022-10-01
